time_ps,active_channel,aout_active,expected_out
23260,0,0.000000,0.000000
25586,0,0.000000,0.000000
27912,0,0.000000,0.000366
30238,0,0.000366,0.000000
32564,0,0.000000,-0.320312
34890,0,-0.320312,0.000977
37216,0,0.000977,-0.320312
39542,0,-0.320312,-0.320312
41868,0,-0.320312,-0.320312
44194,0,-0.320312,-0.281250
46520,0,-0.281250,-0.281250
48846,0,-0.281250,-0.281250
51172,0,-0.281250,-0.320312
53498,0,-0.320312,-0.320312
55824,0,-0.320312,-0.320312
58150,0,-0.320312,-0.320312
60476,0,-0.320312,-0.320312
62802,0,-0.320312,-0.320312
65128,0,-0.320312,-0.320312
67454,0,-0.320312,-0.320312
69780,0,-0.320312,-0.320312
72106,0,-0.320312,-0.320312
74432,0,-0.320312,-0.320312
76758,0,-0.320312,-0.320312
79084,0,-0.320312,-0.320312
81410,0,-0.320312,-0.320312
83736,0,-0.320312,-0.320312
86062,0,-0.320312,-0.320312
88388,0,-0.320312,-0.320312
90714,0,-0.320312,-0.320312
93040,0,-0.320312,-0.320312
95366,0,-0.320312,-0.320312
97692,0,-0.320312,-0.320312
100018,0,-0.320312,-0.320312
102344,0,-0.320312,-0.320312
104670,0,-0.320312,-0.320312
106996,0,-0.320312,-0.320312
109322,0,-0.320312,-0.320312
111648,0,-0.320312,-0.320312
113974,0,-0.320312,-0.320312
116300,0,-0.320312,-0.320312
118626,0,-0.320312,-0.320312
120952,0,-0.320312,-0.320312
123278,0,-0.320312,-0.320312
125604,0,-0.320312,-0.320312
127930,0,-0.320312,-0.320312
130256,0,-0.320312,-0.320312
132582,0,-0.320312,-0.320312
134908,0,-0.320312,-0.320312
137234,0,-0.320312,-0.320312
139560,0,-0.320312,-0.320312
141886,0,-0.320312,-0.320312
144212,0,-0.320312,-0.320312
146538,0,-0.320312,-0.320312
148864,0,-0.320312,-0.320312
151190,0,-0.320312,-0.320312
153516,0,-0.320312,-0.320312
155842,0,-0.320312,-0.320312
158168,0,-0.320312,-0.320312
160494,0,-0.320312,-0.320312
162820,0,-0.320312,-0.320312
165146,0,-0.320312,-0.320312
167472,0,-0.320312,-0.320312
169798,0,-0.320312,-0.320312
172124,0,-0.320312,-0.320312
174450,0,-0.320312,-0.320312
176776,0,-0.320312,-0.320312
179102,0,-0.320312,-0.320312
181428,0,-0.320312,-0.320312
183754,0,-0.320312,-0.320312
186080,0,-0.320312,-0.320312
188406,0,-0.320312,-0.320312
190732,0,-0.320312,-0.320312
193058,0,-0.320312,-0.320312
195384,0,-0.320312,-0.320312
197710,0,-0.320312,-0.320312
200036,0,-0.320312,-0.320312
202362,0,-0.320312,-0.320312
204688,0,-0.320312,-0.320312
207014,0,-0.320312,-0.320312
209340,0,-0.320312,-0.320312
211666,0,-0.320312,-0.320312
213992,0,-0.320312,-0.320312
216318,0,-0.320312,-0.320312
218644,0,-0.320312,-0.320312
220970,0,-0.320312,-0.320312
223296,0,-0.320312,-0.320312
225622,0,-0.320312,-0.320312
227948,0,-0.320312,-0.320312
230274,0,-0.320312,-0.320312
232600,0,-0.320312,-0.320312
234926,0,-0.320312,-0.320312
237252,0,-0.320312,-0.320312
239578,0,-0.320312,-0.320312
241904,0,-0.320312,-0.320312
244230,0,-0.320312,-0.320312
246556,0,-0.320312,-0.320312
248882,0,-0.320312,-0.320312
251208,0,-0.320312,-0.320312
253534,0,-0.320312,-0.320312
255860,0,-0.320312,-0.320312
258186,5,0.000000,-0.320312
260512,5,0.000000,0.039062
262838,5,0.039062,0.039062
265164,0,0.000000,0.921875
267490,0,0.000000,0.004272
269816,0,0.004272,0.000000
272142,0,0.000000,0.004883
274468,0,0.004883,0.000000
276794,0,0.000000,0.000000
279120,0,0.000000,0.000000
281446,0,0.000000,0.000000
283772,0,0.000000,0.000000
286098,0,0.000000,0.000000
288424,0,0.000000,0.000000
290750,0,0.000000,0.000000
293076,0,0.000000,0.000000
295402,0,0.000000,0.000000
297728,0,0.000000,0.000000
300054,0,0.000000,0.000000
302380,0,0.000000,0.000000
304706,0,0.000000,0.000000
307032,0,0.000000,0.000000
309358,0,0.000000,0.000000
311684,0,0.000000,0.000000
314010,0,0.000000,0.000000
316336,0,0.000000,0.000000
318662,0,0.000000,0.000000
320988,0,0.000000,0.000000
323314,0,0.000000,0.000000
325640,0,0.000000,0.000000
327966,0,0.000000,0.000000
330292,0,0.000000,0.000000
